Name	SeqNum	baseline	contPtTracks	contPtTracksNoOcc	contPtTracksNoReproj	RAS

*** City (1->16)

			City	1	0.050465	0.069388	0.069374	0.078627	0.197875	
		NoOccCity	1	0.034722	0.070022	0.069997	0.086125	0.152778	
		 OccCity	1	0.071651	0.068536	0.068536	0.068536	0.258567	

			City	2	0.000000	0.000000	0.000000	0.000000	0.000000	
		NoOccCity	2	        	
		 OccCity	2	        	

			City	5	0.190175	0.194607	0.199360	0.196426	0.376084	
		NoOccCity	5	0.061677	0.102372	0.111128	0.081300	0.268387	
		 OccCity	5	0.336969	0.299975	0.300155	0.327946	0.499116	

			City	9	0.191885	0.198128	0.205167	0.194891	0.381675	
		NoOccCity	9	0.076331	0.109911	0.117686	0.078658	0.348508	
		 OccCity	9	0.260205	0.250285	0.256889	0.263612	0.401285	

			City	11	0.102922	0.098475	0.098475	0.102922	0.101652	
		NoOccCity	11	0.007937	0.007937	0.007937	0.007937	0.007937	
		 OccCity	11	0.272085	0.259717	0.259717	0.272085	0.268551	

			City	13	0.046319	0.041132	0.040635	0.041189	0.296482
		NoOccCity	13	0.004658	0.000001	0.000115	0.000041	0.287325	
		 OccCity	13	0.387550	0.378032	0.372530	0.378229	0.371486	

			City	14	0.120456	0.121541	0.121541	0.119196	0.177428	
		NoOccCity	14	0.040816	0.000000	0.000000	0.040816	0.040816	
		 OccCity	14	0.124928	0.128367	0.128367	0.123598	0.185100	

			City	17	0.017060	0.031496	0.031496	0.017060	0.031496	
		NoOccCity	17	0.000000	0.029650	0.029650	0.000000	0.000000	
		 OccCity	17	0.033248	0.033248	0.033248	0.033248	0.061381	

			City	18	0.034314	0.044118	0.044118	0.034314	0.046569	
		NoOccCity	18	NaN	NaN	NaN	NaN	NaN	
		 OccCity	18	0.034314	0.044118	0.044118	0.034314	0.046569	

			City	48	0.247863	0.247863	0.247863	0.247863	0.459096	
		NoOccCity	48	0.000000	0.000000	0.000000	0.000000	0.366883	
		 OccCity	48	1.000000	1.000000	1.000000	1.000000	0.738916	

			City	51	0.149912	0.145726	0.145726	0.149576	0.283842	
		NoOccCity	51	0.021490	0.025430	0.025430	0.021490	0.182307	
		 OccCity	51	0.253391	0.242657	0.242657	0.252785	0.365657	

			City	56	0.123519	0.104390	0.104404	0.110954	0.252115	
		NoOccCity	56	0.004219	0.004439	0.004496	0.012175	0.168776	
		 OccCity	56	0.606838	0.509319	0.509157	0.511135	0.589744

			*City	59	0.156719	0.147628	0.148139	0.153453	

			City	60	0.000000	0.000000	0.000000	0.000000	0.000000	
		NoOccCity	60	NaN	NaN	NaN	NaN	NaN	
		 OccCity	60	NaN	NaN	NaN	NaN	NaN	

			City	91	0.000000	0.000000	0.000000	0.000000	0.000000	
		NoOccCity	91	        	
		 OccCity	91	

			*City	93	0.235116	0.258567	0.259871	0.224885

*** Residential (17->28)

	 Residential	19	0.180868	0.176293	0.175841	0.162443	0.366573	
NoOccResidential	19	0.037139	0.038418	0.041047	0.032796	0.273788	
  OccResidential	19	0.329524	0.318895	0.315255	0.296534	0.462540	

     Residential	20	0.081519	0.073891	0.073904	0.082371	0.192466	
NoOccResidential	20	NaN	NaN	NaN	NaN	NaN	
  OccResidential	20	0.081519	0.073891	0.073904	0.082371	0.192466

     Residential	23	0.190855	0.178102	0.178482	0.185430	0.274193	
NoOccResidential	23	0.009891	0.017673	0.020772	0.014921	0.135697	
  OccResidential	23	0.374450	0.340863	0.338485	0.358419	0.414703	

     *Residential	35	0.221565	0.226807	0.228281	0.223669

	 *Residential	36	0.242088	0.228690	0.239565	0.224090

     Residential	39	0.138921	0.138268	0.139936	0.136713	0.335468	
NoOccResidential	39	0.026622	0.033825	0.036659	0.026096	0.308041	
